Date,Rainfall_Gallicano,Rainfall_Pontetetto,Rainfall_Monte_Serra,Rainfall_Orentano,Rainfall_Borgo_a_Mozzano,Rainfall_Piaggione,Rainfall_Calavorno,Rainfall_Croce_Arcana,Rainfall_Tereglio_Coreglia_Antelminelli,Rainfall_Fabbriche_di_Vallico,Depth_to_Groundwater_LT2,Depth_to_Groundwater_SAL,Depth_to_Groundwater_PAG,Depth_to_Groundwater_CoS,Depth_to_Groundwater_DIEC,Temperature_Orentano,Temperature_Monte_Serra,Temperature_Ponte_a_Moriano,Temperature_Lucca_Orto_Botanico,Volume_POL,Volume_CC1,Volume_CC2,Volume_CSA,Volume_CSAL,Hydrometry_Monte_S_Quirico,Hydrometry_Piaggione
17/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.97,-5.92,-2.34,-6.22,-3.79,16.05,12.8,17.2,17.45,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.17,-1.04
18/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.93,-5.93,-2.46,-6.27,-3.8,17.2,15.25,19.0,19.0,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.18,-1.04
19/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.92,-5.95,-2.41,-6.32,-3.8,19.25,15.35,19.95,20.1,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.16,-1.04
20/05/2011,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.4,-12.93,-5.95,-2.48,-6.39,-3.81,20.65,16.4,20.15,21.6,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.15,-1.04
21/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-12.92,-5.95,-2.43,-6.49,-3.81,20.4,17.6,21.35,21.15,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.15,-1.05
22/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2,0.0,0.0,-12.91,-5.97,-2.54,-6.62,-3.82,21.65,18.65,22.6,22.55,-9439.2,-15558.264,-12182.3136,0.0,0.0,0.15,-1.05
23/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.93,-6.01,-2.46,-6.7,-3.83,22.15,20.25,23.7,23.6,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.15,-1.05
24/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.94,-6.03,-2.47,-6.7,-3.84,24.35,20.2,24.3,24.05,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.14,-1.05
25/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.94,-6.05,-2.59,-6.72,-3.84,23.3,21.3,24.95,24.6,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.15,-1.05
26/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.93,-6.09,-2.61,-6.72,-3.85,23.85,20.25,24.25,24.7,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.14,-1.06
27/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-12.92,-6.1,-2.63,-6.79,-3.84,20.5,15.65,21.45,22.7,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.15,-1.06
28/05/2011,0.4,0.2,0.0,0.0,0.2,0.2,0.2,6.2,0.0,0.8,-12.9,-6.08,-2.63,-6.81,-3.86,19.55,14.45,19.55,21.65,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.14,-1.07
29/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-6.12,-2.66,-6.86,-3.86,19.35,15.75,20.5,20.95,-9439.2,-15558.264,-12182.3136,0.0,0.0,0.14,-1.07
30/05/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-6.12,-2.68,-6.95,-3.87,20.85,17.9,21.95,22.15,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.14,-1.08
31/05/2011,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-6.11,-2.66,-7.01,-3.88,19.5,15.25,20.4,20.7,-9936.0,-16377.12,-12823.488000000001,0.0,0.0,0.14,-1.07
01/06/2011,5.0,7.4,9.8,4.0,9.6,6.8,5.8,5.8,9.8,8.0,-12.94,-6.13,-2.57,-6.68,-3.88,21.0,14.0,20.15,20.4,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.05
02/06/2011,0.2,0.0,2.4,0.0,0.0,0.0,0.2,10.8,0.0,0.2,-12.97,-6.08,-2.59,-6.99,-3.88,20.55,16.2,20.2,21.55,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.06
03/06/2011,0.0,22.4,0.4,1.2,0.0,0.8,0.0,4.2,0.0,0.0,-12.96,-6.07,-2.48,-6.97,-3.89,22.45,17.55,21.9,22.3,-10972.8,-16097.184,-12735.36,0.0,0.0,0.16,-1.06
04/06/2011,0.0,0.0,0.0,0.2,0.0,0.0,0.0,2.8,0.2,0.6,-12.95,-6.11,-2.46,-6.98,-3.9,22.8,18.45,23.65,23.85,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.07
05/06/2011,0.0,0.0,59.2,0.4,0.8,0.0,0.0,35.2,22.8,0.0,-12.92,-6.09,-2.52,-6.98,-3.91,22.1,17.05,22.2,23.25,-10424.16,-15292.3248,-12098.591999999999,0.0,0.0,0.17,-1.05
06/06/2011,14.2,31.4,6.4,29.2,30.2,48.4,29.8,16.6,5.2,15.8,-12.91,-6.03,-2.05,-6.89,-3.89,21.4,16.65,20.6,21.55,-10972.8,-16097.184,-12735.36,0.0,0.0,0.18,-1.05
07/06/2011,8.0,10.2,24.8,9.8,7.6,10.2,7.2,10.0,29.2,10.2,-12.89,-6.04,-2.14,-6.72,-3.9,20.2,15.2,18.5,19.75,-10972.8,-16097.184,-12735.36,0.0,0.0,0.2,-1.03
08/06/2011,22.6,6.8,2.0,4.4,18.4,19.8,21.2,7.0,28.8,25.4,-12.9,-6.01,-2.09,-6.77,-3.88,19.55,13.8,18.7,19.65,-10972.8,-16097.184,-12735.36,0.0,0.0,0.26,-0.98
09/06/2011,48.8,1.2,3.6,9.6,64.6,27.2,66.4,14.0,21.0,49.0,-12.93,-5.99,-1.84,-6.76,-3.85,19.6,13.35,18.55,19.55,-10972.8,-16097.184,-12735.36,0.0,0.0,0.33,-0.98
10/06/2011,0.0,0.6,0.0,0.0,0.4,0.6,0.0,0.0,0.0,1.0,-12.96,-5.97,-2.08,-6.79,-3.88,19.25,13.75,18.45,20.05,-10972.8,-16097.184,-12735.36,0.0,0.0,0.26,-1.04
11/06/2011,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-5.97,-2.09,-6.82,-3.93,19.15,14.05,19.25,20.65,-10972.8,-16097.184,-12735.36,0.0,0.0,0.2,-1.05
12/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,-12.95,-5.92,-2.23,-6.85,-3.96,19.95,14.3,19.95,21.6,-10424.16,-15292.3248,-12098.591999999999,0.0,0.0,0.18,-1.06
13/06/2011,7.0,0.0,0.0,0.0,0.0,0.0,0.2,6.8,0.0,0.0,-12.94,-5.93,-2.24,-6.8,-3.98,19.9,14.0,20.2,22.15,-10972.8,-16097.184,-12735.36,0.0,0.0,0.16,-1.06
14/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.2,0.0,-12.93,-6.0,-2.25,-6.84,-4.0,20.95,16.6,20.75,22.7,-10972.8,-16097.184,-12735.36,0.0,0.0,0.17,-1.06
15/06/2011,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-12.94,-6.01,-2.34,-6.97,-4.01,22.5,18.65,23.25,24.1,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.07
16/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.94,-6.03,-2.34,-7.06,-4.02,22.4,18.3,22.25,23.3,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.07
17/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.95,-6.06,-2.46,-7.17,-4.02,21.8,17.05,21.5,22.7,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.06
18/06/2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,8.6,0.0,-12.91,-6.07,-2.48,-7.22,-4.03,22.95,17.3,22.05,23.65,-10972.8,-16097.184,-12735.36,0.0,0.0,0.15,-1.07
19/06/2011,7.2,0.0,0.0,0.0,2.2,0.0,4.2,2.4,0.2,1.6,-12.89,-6.02,-2.48,-7.2,-4.03,19.85,13.9,19.35,21.1,-10424.16,-15292.3248,-12098.591999999999,0.0,0.0,0.15,-1.06
