Date,Rainfall_Monteporzio,Rainfall_Velletri,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_2,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Depth_to_Groundwater_Pozzo_5,Depth_to_Groundwater_Pozzo_6,Depth_to_Groundwater_Pozzo_7,Depth_to_Groundwater_Pozzo_8,Depth_to_Groundwater_Pozzo_9,Volume_Pozzo_1,Volume_Pozzo_2,Volume_Pozzo_3,Volume_Pozzo_4,Volume_Pozzo_5+6,Volume_Pozzo_7,Volume_Pozzo_8,Volume_Pozzo_9,Temperature_Monteporzio,Temperature_Velletri
08/01/2019,4.4,3.6,-36.88,-99.99,-114.8,-101.44,-103.73,-93.55,-93.4,-99.09,-92.98,1875.89,3535.38,2664.94,3578.22,7741.62,2621.59,3829.03,2703.82,4.66,5.93
09/01/2019,2.0,11.2,-37.65,-99.99,-114.8,-101.36,-104.12,-93.56,-93.9,-99.07,-92.98,2021.33,3528.29,2701.8,3572.89,7700.9,2610.22,3797.06,2498.4,3.47,5.65
10/01/2019,0.0,0.0,-37.65,-100.6,-114.8,-101.13,-104.18,-93.62,-97.43,-99.02,-92.98,2064.89,3528.5,3534.34,3514.5,6695.28,2612.81,3028.82,3399.59,1.3,4.84
11/01/2019,0.0,0.0,-37.65,-100.6,-114.88,-101.13,-104.18,-93.62,-97.43,-99.02,-93.54,1998.29,3531.24,3546.43,3580.24,7799.18,2615.18,3807.11,1995.3,0.61,3.87
12/01/2019,0.0,0.0,-37.65,-100.6,-114.89,-101.13,-104.18,-93.62,-97.43,-99.02,-93.54,1848.1,3533.22,2926.19,3578.0,7743.85,2617.96,3811.82,3438.83,1.22,3.34
13/01/2019,0.2,0.0,-37.65,-100.6,-114.89,-101.13,-104.18,-93.62,-97.43,-99.02,-93.41,1869.98,3530.09,3410.1,3577.46,7795.55,2610.65,3809.92,3431.48,4.0,5.36
14/01/2019,2.0,3.4,-38.22,-100.6,-114.89,-101.13,-104.15,-93.62,-97.43,-99.02,-93.39,2006.96,3528.5,3557.63,3581.82,7789.32,2616.7,3808.58,3416.51,6.2,9.04
15/01/2019,0.0,0.0,-37.34,-100.6,-114.89,-101.13,-104.12,-93.62,-97.43,-99.02,-93.39,2039.62,3530.09,2628.29,3575.56,7790.51,2613.74,3803.22,3323.88,4.38,8.16
16/01/2019,0.0,0.0,-36.71,-100.27,-114.51,-100.98,-104.12,-93.5,-97.43,-98.89,-93.13,1949.47,3530.48,3546.11,3578.54,7795.48,2607.8,3797.17,3428.46,4.98,6.72
17/01/2019,8.8,7.2,-36.16,-99.94,-114.45,-100.83,-104.12,-93.38,-97.43,-98.76,-93.01,2002.72,3529.98,2750.04,3576.82,7724.95,2605.86,3793.72,2723.11,5.58,7.71
