Date,Rainfall_Simignano,Rainfall_Siena_Poggio_al_Vento,Rainfall_Mensano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Ponte_Orgia,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Depth_to_Groundwater_Pozzo_1,Depth_to_Groundwater_Pozzo_3,Depth_to_Groundwater_Pozzo_4,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
23/11/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-8.2,-10.1,-9.0,-12.2,12.3,11.4,11.15,11.3,-222.90624,-136.9056,-227.96832
24/11/2017,0.2,0.0,0.2,0.4,0.2,0.2,0.2,0.0,0.2,0.2,-8.2,-10.5,-8.4,-12.0,12.2,11.2,11.9,10.65,-222.90624,-136.9056,-227.96832
25/11/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-8.2,-10.2,-9.8,-12.1,12.55,13.05,12.4,13.0,-222.90624,-136.9056,-227.96832
26/11/2017,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-8.2,-10.2,-9.1,-12.1,7.75,6.85,7.05,7.1,-211.76092799999998,-130.06032,-216.569904
27/11/2017,0.2,0.6,0.0,0.0,0.2,0.0,0.2,0.6,0.0,0.0,-8.2,-10.3,-8.8,-12.2,6.15,4.9,4.25,3.6,-222.90624,-136.9056,-227.96832
28/11/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.2,-10.2,-10.3,-12.0,3.7,5.05,4.1,1.9,-222.90624,-136.9056,-227.96832
29/11/2017,2.6,2.0,0.8,2.4,12.6,3.0,3.2,1.2,4.2,6.0,-8.2,-10.1,-10.6,-12.0,7.55,8.6,7.85,8.35,-222.90624,-136.9056,-227.96832
30/11/2017,18.0,14.8,23.8,24.2,22.0,19.8,22.4,20.6,24.0,19.4,-8.2,-10.2,-10.6,-12.0,6.25,5.3,5.85,5.15,-222.90624,-136.9056,-227.96832
01/12/2017,0.6,0.4,1.6,1.8,0.4,0.8,0.4,0.2,0.4,0.4,-8.3,-10.1,-10.6,-12.0,3.95,3.65,3.35,3.6,-183.5231301,-188.82760459999997,-188.87885119999999
02/12/2017,0.8,1.0,1.0,1.2,0.0,0.6,0.4,0.4,1.2,0.2,-8.3,-7.2,-9.5,-12.0,5.35,4.0,4.3,4.65,-183.5231301,-188.82760459999997,-188.87885119999999
03/12/2017,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,-8.3,-10.0,-8.9,-12.1,5.35,3.1,3.2,3.65,-174.3469736,-179.3862243,-179.4349086
04/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-8.8,-12.1,5.0,4.25,3.55,3.75,-183.5231301,-188.82760459999997,-188.87885119999999
05/12/2017,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,-8.3,-10.0,-8.8,-12.0,6.95,7.9,6.4,3.8,-183.5231301,-188.82760459999997,-188.87885119999999
06/12/2017,0.4,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.0,-8.3,-10.0,-8.7,-12.1,6.85,8.15,6.7,4.95,-183.5231301,-188.82760459999997,-188.87885119999999
07/12/2017,0.0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.2,-8.3,-10.0,-8.8,-12.0,6.9,7.85,7.1,5.05,-183.5231301,-188.82760459999997,-188.87885119999999
08/12/2017,1.4,0.6,1.4,0.2,0.0,2.2,1.0,0.6,0.6,0.8,-8.3,-10.0,-8.8,-12.1,8.75,10.05,8.5,6.1,-183.5231301,-188.82760459999997,-188.87885119999999
09/12/2017,1.6,1.2,0.8,1.2,2.8,0.6,0.4,1.4,1.2,2.0,-8.3,-10.0,-8.9,-12.1,3.8,3.95,2.9,3.05,-183.5231301,-188.82760459999997,-188.87885119999999
10/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-9.3,-12.1,4.5,5.55,4.1,3.2,-174.3469736,-179.3862243,-179.4349086
11/12/2017,10.4,3.0,3.0,10.2,24.2,10.0,6.0,2.4,15.0,2.4,-8.2,-10.0,-9.1,-12.0,12.4,12.95,11.8,14.2,-183.5231301,-188.82760459999997,-188.87885119999999
12/12/2017,9.4,3.6,13.8,10.2,5.6,4.0,6.2,7.8,3.0,3.4,-8.3,-10.0,-8.7,-12.0,10.6,10.7,9.75,11.8,-183.5231301,-188.82760459999997,-188.87885119999999
13/12/2017,14.4,15.6,12.0,11.4,17.2,14.4,15.2,13.8,14.8,16.8,-8.3,-10.0,-8.6,-12.1,8.15,8.2,8.15,8.65,-183.5231301,-188.82760459999997,-188.87885119999999
14/12/2017,1.2,3.4,0.6,1.8,1.0,3.2,1.8,1.4,1.4,0.8,-8.3,-10.0,-8.9,-12.0,9.3,10.1,8.6,9.8,-183.5231301,-188.82760459999997,-188.87885119999999
15/12/2017,1.4,2.4,0.6,0.4,0.2,0.6,0.2,2.2,0.4,0.6,-8.3,-10.0,-9.0,-12.0,9.3,9.7,8.85,8.55,-183.5231301,-188.82760459999997,-188.87885119999999
16/12/2017,5.2,5.2,8.8,4.2,12.0,4.4,4.8,21.2,4.0,13.2,-8.3,-10.0,-9.2,-12.0,5.1,6.0,5.1,4.85,-183.5231301,-188.82760459999997,-188.87885119999999
17/12/2017,2.8,13.0,0.8,1.0,11.8,6.8,15.2,3.0,12.2,9.0,-8.3,-10.0,-9.2,-12.0,5.55,4.55,3.6,3.75,-174.3469736,-179.3862243,-179.4349086
18/12/2017,0.0,0.0,0.0,0.0,1.6,0.0,0.2,0.6,0.4,0.2,-8.3,-10.0,-9.5,-12.1,2.9,4.15,2.45,1.8,-183.5231301,-188.82760459999997,-188.87885119999999
19/12/2017,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,-8.3,-10.0,-8.8,-12.0,3.4,2.6,1.95,0.75,-183.5231301,-188.82760459999997,-188.87885119999999
20/12/2017,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,-8.3,-10.0,-8.9,-12.0,3.65,2.6,2.5,2.35,-183.5231301,-188.82760459999997,-188.87885119999999
21/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-8.3,-10.0,-9.0,-12.0,4.75,3.15,2.8,2.15,-183.5231301,-188.82760459999997,-188.87885119999999
22/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-9.4,-12.0,6.25,6.5,7.25,3.85,-183.5231301,-188.82760459999997,-188.87885119999999
23/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-8.3,-10.0,-9.4,-12.1,10.2,9.75,8.95,4.45,-183.5231301,-188.82760459999997,-188.87885119999999
24/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,-8.3,-10.0,-9.1,-12.0,7.6,7.95,7.45,4.45,-174.3469736,-179.3862243,-179.4349086
25/12/2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-9.4,-12.0,9.1,9.6,8.8,8.9,-183.5231301,-188.82760459999997,-188.87885119999999
26/12/2017,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-9.8,-12.1,8.9,10.0,8.7,9.45,-183.5231301,-188.82760459999997,-188.87885119999999
27/12/2017,11.8,5.6,4.2,15.4,10.2,5.8,5.8,4.4,8.0,4.6,-8.2,-10.0,-9.8,-12.1,7.55,8.15,6.9,8.95,-183.5231301,-188.82760459999997,-188.87885119999999
28/12/2017,40.8,19.4,26.2,31.6,35.0,28.2,28.0,19.2,30.4,20.0,-8.2,-10.0,-9.6,-12.1,3.7,3.75,3.2,4.4,-183.5231301,-188.82760459999997,-188.87885119999999
29/12/2017,0.8,2.4,0.4,1.6,4.8,0.4,0.4,1.8,2.6,1.0,-8.3,-10.0,-9.1,-12.0,5.3,4.5,4.25,4.15,-183.5231301,-188.82760459999997,-188.87885119999999
30/12/2017,1.2,0.6,1.6,0.4,0.0,1.2,0.6,0.0,0.4,0.2,-8.3,-10.0,-9.2,-12.1,3.9,6.6,4.4,4.1,-183.5231301,-188.82760459999997,-188.87885119999999
31/12/2017,1.6,1.0,1.2,1.2,0.6,2.0,1.8,0.8,2.0,1.2,-8.3,-10.0,-9.6,-12.0,8.45,10.4,9.15,8.0,-174.3469736,-179.3862243,-179.4349086
01/01/2018,3.0,0.6,1.6,3.4,1.4,0.6,0.4,0.8,1.2,0.2,-8.3,-10.0,-8.7,-12.0,9.35,10.05,9.8,8.6,-188.2917627,-204.5612154,-188.06519880000002
02/01/2018,6.2,7.0,8.4,6.0,5.4,8.2,8.0,9.6,7.6,5.8,-8.3,-10.0,-9.3,-12.1,9.8,9.15,9.0,6.9,-188.2917627,-204.5612154,-188.06519880000002
03/01/2018,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,-8.3,-10.0,-8.9,-12.0,8.55,9.75,8.85,7.05,-188.2917627,-204.5612154,-188.06519880000002
04/01/2018,0.0,0.2,2.2,4.0,0.0,0.0,0.0,0.2,0.0,0.4,-8.3,-10.0,-9.3,-12.0,9.15,10.05,8.8,4.85,-188.2917627,-204.5612154,-188.06519880000002
05/01/2018,0.8,1.2,0.4,0.2,1.0,1.4,1.4,0.8,1.0,0.8,-8.3,-10.0,-9.7,-12.1,9.4,11.7,10.15,7.5,-188.2917627,-204.5612154,-188.06519880000002
06/01/2018,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,-8.3,-10.0,-9.2,-12.0,10.65,11.1,10.25,9.35,-188.2917627,-204.5612154,-188.06519880000002
07/01/2018,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.2,-8.3,-10.0,-9.6,-12.0,12.5,11.75,11.15,10.05,-178.87717460000002,-194.33315459999997,-178.6619388
08/01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-9.0,-12.0,14.15,14.1,12.45,10.7,-188.2917627,-204.5612154,-188.06519880000002
09/01/2018,7.4,0.4,4.6,3.2,0.2,0.2,0.4,2.8,4.2,1.4,-8.3,-10.0,-9.1,-12.0,10.2,9.95,9.45,11.45,-188.2917627,-204.5612154,-188.06519880000002
10/01/2018,4.8,4.4,3.6,6.0,5.8,3.8,5.2,9.4,9.2,5.8,-8.3,-10.0,-9.4,-12.0,7.25,8.45,7.6,7.35,-188.2917627,-204.5612154,-188.06519880000002
11/01/2018,1.2,0.0,0.0,0.6,4.0,0.2,1.8,0.0,0.4,2.4,-8.3,-10.0,-9.2,-12.0,6.45,5.9,5.45,7.25,-188.2917627,-204.5612154,-188.06519880000002
12/01/2018,9.4,10.0,2.8,1.8,10.6,7.6,9.4,1.4,4.8,13.2,-8.3,-10.0,-8.9,-12.0,7.8,5.9,7.05,7.6,-188.2917627,-204.5612154,-188.06519880000002
13/01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.3,-10.0,-9.0,-12.0,7.3,5.45,6.05,5.2,-188.2917627,-204.5612154,-188.06519880000002
14/01/2018,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,-8.3,-10.0,-8.9,-12.0,5.65,4.8,4.35,4.35,-178.87717460000002,-194.33315459999997,-178.6619388
15/01/2018,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,-8.3,-10.0,-9.1,-12.0,6.5,6.05,4.6,4.6,-188.2917627,-204.5612154,-188.06519880000002
16/01/2018,2.4,1.2,1.8,1.4,0.4,2.4,2.0,2.8,1.2,2.2,-8.3,-10.0,-9.5,-12.0,9.35,9.95,8.95,7.6,-188.2917627,-204.5612154,-188.06519880000002
17/01/2018,2.0,2.6,313.0,14.0,0.2,1.2,0.4,3.6,0.8,1.6,-8.3,-10.0,-9.4,-12.0,9.25,7.95,7.9,7.6,-188.2917627,-204.5612154,-188.06519880000002
