Date,Rainfall_Le_Croci,Rainfall_Cavallina,Rainfall_S_Agata,Rainfall_Mangona,Rainfall_S_Piero,Rainfall_Vernio,Rainfall_Stia,Rainfall_Consuma,Rainfall_Incisa,Rainfall_Montevarchi,Rainfall_S_Savino,Rainfall_Laterina,Rainfall_Bibbiena,Rainfall_Camaldoli,Temperature_Firenze,Hydrometry_Nave_di_Rosano
01/01/2004,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,8.65,1.84
02/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,7.1,1.93
03/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,5.5,1.61
04/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,1.35
05/01/2004,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.44
06/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,4.95,1.42
07/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,5.15,1.38
08/01/2004,0.0,0.0,0.0,0.8,0.0,0.6,0.0,0.0,0.0,0.8,0.2,0.6,0.0,0.0,9.05,1.37
09/01/2004,7.8,5.6,3.8,5.8,4.6,7.4,3.2,5.6,3.0,3.0,5.2,2.8,1.2,5.6,8.45,1.48
10/01/2004,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.8,1.4,0.8,0.6,0.6,0.2,0.2,8.85,1.45
11/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,6.5,1.24
12/01/2004,3.6,3.4,1.2,1.6,1.8,1.0,1.0,2.4,1.4,1.2,0.6,1.2,0.6,1.6,9.8,1.33
13/01/2004,0.6,1.2,0.8,2.6,0.4,1.8,4.0,11.8,1.2,0.2,0.0,0.0,0.6,4.2,14.7,1.41
14/01/2004,0.0,0.0,0.0,0.2,0.0,0.2,0.6,7.2,0.0,0.0,0.0,0.0,2.8,10.0,15.05,1.46
15/01/2004,6.0,8.8,10.0,13.0,7.0,9.6,9.6,3.2,1.8,4.4,4.8,4.0,5.2,6.0,8.8,1.53
16/01/2004,4.4,5.6,4.6,11.4,3.2,12.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,4.4,5.5,1.66
17/01/2004,18.2,36.4,20.2,49.6,19.6,71.2,3.2,7.4,3.4,0.0,0.0,0.2,7.2,4.8,10.7,1.75
18/01/2004,24.8,25.2,26.6,40.2,27.0,32.2,27.4,35.6,7.4,7.6,11.6,10.6,29.6,28.0,8.85,3.15
19/01/2004,0.0,0.2,0.0,0.0,0.0,0.0,21.4,34.4,28.6,7.6,1.4,2.8,16.4,25.4,5.9,3.05
20/01/2004,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.8,5.1,2.26
21/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.2,1.2,0.0,0.0,0.0,0.6,0.0,6.4,2.02
22/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.9,1.92
23/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,5.15,1.91
24/01/2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,2.65,1.6
25/01/2004,1.8,1.2,0.6,2.2,0.2,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85,1.44
26/01/2004,0.4,0.2,0.2,0.0,0.6,0.8,1.2,0.0,1.2,1.8,0.4,1.6,0.6,0.4,1.7,1.53
