Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
26/01/2016,0.0,0.0,0.0,0.0,0.0,-36.87,-50.73,-294.94,7.05,7.6,4.65,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
27/01/2016,0.0,0.0,0.2,0.0,0.0,-36.87,-50.74,-294.98,7.55,8.1,6.7,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
28/01/2016,0.0,0.0,0.0,0.0,0.0,-36.88,-50.74,-295.02,6.85,5.8,5.55,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
29/01/2016,0.0,0.0,0.0,0.0,0.0,-36.88,-50.74,-295.06,6.75,7.8,5.05,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
30/01/2016,0.0,0.0,0.0,0.0,0.0,-36.89,-50.75,-295.09,6.35,5.95,4.6,-0.327773153,-2.8723413110000005,-5.0350537630000005,-21.50494277
31/01/2016,0.0,0.0,0.0,0.0,0.0,-36.89,-50.75,-295.12,8.5,7.95,6.95,-0.311384495,-2.728724246,-4.783301075,-20.42969563
01/02/2016,0.0,0.0,0.0,0.2,0.0,-36.89,-50.75,-295.15,9.25,8.6,8.05,-0.348571429,-3.001194581,0.0,-24.64413793
02/02/2016,0.0,0.0,0.2,0.2,0.0,-36.9,-50.76,-295.19,7.5,7.05,6.0,-0.348571429,-3.001194581,0.0,-24.64413793
03/02/2016,0.0,0.8,2.4,1.2,0.6,-36.9,-50.75,-295.22,5.5,5.4,5.25,-0.348571429,-3.001194581,0.0,-24.64413793
04/02/2016,0.0,5.0,3.2,6.4,0.0,-36.9,-50.76,-295.24,2.8,2.7,2.5,-0.348571429,-3.001194581,0.0,-24.64413793
05/02/2016,0.0,2.8,0.0,0.0,1.0,-36.91,-50.76,-295.28,5.4,4.85,4.45,-0.348571429,-3.001194581,0.0,-24.64413793
06/02/2016,0.0,0.0,0.0,0.0,0.0,-36.91,-50.77,-295.32,6.05,3.7,4.0,-0.348571429,-3.001194581,0.0,-24.64413793
07/02/2016,0.0,1.0,0.0,1.2,0.6,-36.91,-50.77,-295.35,5.6,5.8,5.05,-0.331142857,-2.851134852,0.0,-23.41193103
09/02/2016,0.0,0.0,0.0,0.0,0.0,-36.91,-50.77,-295.41,6.55,6.95,5.45,-0.348571429,-3.001194581,0.0,-24.64413793
10/02/2016,24.8,44.7,41.2,49.0,31.4,-36.9,-50.76,-295.42,5.0,5.2,4.4,-0.348571429,-3.001194581,0.0,-24.64413793
11/02/2016,4.4,20.5,8.0,10.0,6.4,-36.9,-50.76,-295.44,3.35,4.1,3.4,-0.348571429,-3.001194581,0.0,-24.64413793
12/02/2016,0.0,0.0,0.0,0.0,2.8,-36.9,-50.76,-295.46,6.9,7.25,5.25,-0.348571429,-3.001194581,0.0,-24.64413793
13/02/2016,6.4,15.5,11.2,16.8,10.6,-36.9,-50.76,-295.47,7.3,7.6,6.7,-0.348571429,-3.001194581,0.0,-24.64413793
14/02/2016,8.2,8.2,12.4,11.0,7.8,-36.9,-50.76,-295.49,8.15,8.85,7.3,-0.331142857,-2.851134852,0.0,-23.41193103
15/02/2016,12.8,12.0,17.2,15.4,15.2,-36.9,-50.77,-295.49,5.45,5.45,4.55,-0.348571429,-3.001194581,0.0,-24.64413793
16/02/2016,51.4,61.7,51.2,75.8,58.8,-36.88,-50.75,-295.52,7.15,8.25,6.6,-0.348571429,-3.001194581,0.0,-24.64413793
17/02/2016,15.2,13.2,11.4,13.8,24.0,-36.87,-50.75,-295.55,5.55,5.65,5.05,-0.348571429,-3.001194581,0.0,-24.64413793
18/02/2016,19.4,14.8,19.8,18.2,20.2,-36.87,-50.74,-295.58,4.85,4.9,5.1,-0.348571429,-3.001194581,0.0,-24.64413793
19/02/2016,0.0,0.0,0.0,0.0,0.0,-36.88,-50.75,-295.59,5.2,4.05,3.8,-0.348571429,-3.001194581,0.0,-24.64413793
20/02/2016,0.6,2.3,0.2,1.6,0.2,-36.89,-50.76,-295.6,4.1,5.0,4.1,-0.348571429,-3.001194581,0.0,-24.64413793
21/02/2016,0.0,0.0,0.0,0.0,0.0,-36.9,-50.77,-295.63,6.65,6.2,5.5,-0.331142857,-2.851134852,0.0,-23.41193103
22/02/2016,0.0,0.0,0.0,0.0,0.0,-36.91,-50.78,-295.66,8.6,7.75,8.6,-0.348571429,-3.001194581,0.0,-24.64413793
