Date,Rainfall_Settefrati,Temperature_Settefrati,Flow_Rate_Madonna_di_Canneto
13/03/2015,0.0,5.7,255.956525
14/03/2015,5.8,7.1,289.54556139999994
15/03/2015,7.4,4.9,289.9186152
16/03/2015,8.6,7.5,290.08289560000003
17/03/2015,7.6,7.55,290.68877660000004
18/03/2015,0.0,8.4,285.417723
19/03/2015,0.0,9.75,282.2443597
20/03/2015,0.0,8.7,283.4899183
21/03/2015,0.0,7.95,283.9203937
22/03/2015,0.8,6.55,284.3272472
23/03/2015,0.0,9.15,284.5879713
24/03/2015,0.0,12.15,284.16886989999995
25/03/2015,37.3,10.25,282.4008892
26/03/2015,6.0,13.35,275.9375031
27/03/2015,10.8,12.0,273.9198491
28/03/2015,0.0,9.5,273.939755
29/03/2015,0.0,9.6,273.6624202
30/03/2015,0.0,10.6,278.0547162
31/03/2015,0.0,13.35,276.8946238
01/04/2015,0.0,12.05,275.05476860000005
02/04/2015,0.0,11.0,273.9272583
03/04/2015,0.0,9.45,273.877707
04/04/2015,12.3,7.65,273.92275750000005
05/04/2015,9.2,5.85,273.55611749999997
06/04/2015,0.0,5.3,273.8512721
07/04/2015,0.0,3.9,273.63014760000004
08/04/2015,0.0,5.8,273.40322630000003
09/04/2015,0.0,9.35,261.8903418
10/04/2015,0.0,10.8,277.0050769
11/04/2015,0.0,10.45,276.7164202
12/04/2015,0.0,11.7,276.891222
13/04/2015,0.0,13.75,276.88467169999996
14/04/2015,0.4,14.6,274.95283739999996
15/04/2015,0.0,15.25,273.6325181
16/04/2015,0.0,14.9,273.62845110000006
17/04/2015,0.2,14.35,273.8138785
18/04/2015,0.0,12.8,273.90091
19/04/2015,1.4,13.25,274.1168694
20/04/2015,0.2,11.8,274.1432099
21/04/2015,0.0,12.5,273.99298369999997
22/04/2015,0.0,14.6,274.14907569999997
23/04/2015,0.0,14.1,274.2687412
24/04/2015,0.2,14.9,274.1271984
25/04/2015,0.6,14.15,274.2048533
26/04/2015,0.0,14.95,274.23857410000005
27/04/2015,14.0,11.95,274.2566337
28/04/2015,8.2,10.2,274.1222673
29/04/2015,8.2,12.1,274.3879241
30/04/2015,18.8,11.4,274.44740210000003
01/05/2015,0.0,12.4,274.5162938
02/05/2015,0.0,14.5,274.5120852
03/05/2015,0.0,15.7,274.56413369999996
04/05/2015,0.0,19.6,274.6890818
05/05/2015,0.0,21.8,274.68113910000005
06/05/2015,0.2,22.85,274.6076082
07/05/2015,0.0,21.1,274.64488339999997
08/05/2015,0.0,18.9,274.7271288
09/05/2015,8.5,17.55,274.73954399999997
10/05/2015,0.0,17.6,274.8317938
11/05/2015,0.0,17.6,274.695843
12/05/2015,0.0,17.2,274.8093921
13/05/2015,0.0,18.35,274.7552104
14/05/2015,0.0,17.45,274.8586989
15/05/2015,0.0,17.3,274.7366045
16/05/2015,9.2,15.5,274.57489019999997
17/05/2015,0.0,20.2,274.5263104
18/05/2015,0.0,20.75,274.6188995
19/05/2015,0.0,19.9,275.1666475
20/05/2015,0.0,18.3,274.3945231
21/05/2015,5.0,12.0,274.4671458
22/05/2015,2.8,11.7,274.34211560000006
23/05/2015,1.8,10.85,274.1636538
24/05/2015,2.0,11.3,274.0833288
25/05/2015,0.0,12.9,273.9533986
26/05/2015,16.8,13.85,273.79922860000005
27/05/2015,8.8,13.2,273.7222372
28/05/2015,0.2,13.1,273.86665739999995
29/05/2015,0.0,14.95,273.6717064
30/05/2015,0.0,17.05,273.6753212
31/05/2015,13.3,17.65,273.7554743
01/06/2015,2.2,18.45,273.6683519
02/06/2015,3.4,19.05,273.6685172
03/06/2015,0.0,20.55,273.6884255
04/06/2015,0.0,21.7,273.6998817
05/06/2015,0.0,22.45,273.6648734
06/06/2015,0.0,22.2,273.741792
07/06/2015,0.0,21.25,273.8530483
08/06/2015,2.6,20.45,273.7789352
10/06/2015,3.2,19.85,274.1147766
18/06/2015,0.2,16.75,274.34961089999996
19/06/2015,21.9,18.2,273.9063992
30/09/2015,0.0,13.95,227.6734397
02/10/2015,15.9,16.5,224.941935
04/10/2015,0.0,16.0,227.1598042
05/10/2015,3.4,16.0,225.6479256
06/10/2015,0.6,17.3,223.02366740000002
13/04/2016,0.0,17.1,221.17575069999998
14/04/2016,0.0,14.5,221.17575069999998
15/04/2016,0.0,13.0,221.17575069999998
19/04/2016,0.0,14.55,221.17575069999998
20/04/2016,0.0,14.5,221.17575069999998
21/04/2016,0.0,14.05,221.17575069999998
22/04/2016,0.0,12.6,221.17575069999998
23/04/2016,25.8,11.05,240.5792804
24/04/2016,32.5,9.3,275.67026810000004
25/04/2016,15.0,4.0,275.9887048
26/04/2016,2.2,5.6,276.6314134
27/04/2016,2.8,10.7,276.12041949999997
28/04/2016,0.0,11.0,276.0351943
29/04/2016,0.2,13.7,275.98499439999995
30/04/2016,1.4,14.05,276.22984410000004
01/05/2016,6.0,11.15,276.94187410000006
02/05/2016,7.8,7.6,277.0451587
03/05/2016,0.2,12.95,275.6731375
04/05/2016,0.0,12.35,275.6340509
05/05/2016,0.6,12.45,275.8300855
06/05/2016,4.0,12.1,275.6085185
07/05/2016,5.4,14.3,275.6911855
08/05/2016,0.0,15.15,275.879104
09/05/2016,0.0,15.7,276.1018298
10/05/2016,0.0,18.05,275.9746119
11/05/2016,2.6,18.05,276.0763945
12/05/2016,13.3,14.75,276.1332902
13/05/2016,8.4,13.3,275.93793989999995
14/05/2016,14.5,10.6,275.994158
15/05/2016,31.9,13.45,276.2410629
16/05/2016,6.4,13.25,276.6321392
17/05/2016,15.1,9.8,276.5574008
18/05/2016,0.2,12.2,276.3624376
19/05/2016,6.6,11.75,276.50780960000003
20/05/2016,2.6,10.65,276.47879819999997
21/05/2016,0.0,17.0,276.5038126
22/05/2016,0.0,16.9,276.6522585
23/05/2016,0.0,15.0,276.63242
24/05/2016,0.6,12.8,278.547754
25/05/2016,0.0,14.8,276.8979097
26/05/2016,0.0,16.9,276.9522639
27/05/2016,0.0,20.05,275.72625330000005
28/05/2016,0.0,21.35,277.12683300000003
29/05/2016,0.0,19.8,277.2510121
30/05/2016,0.0,15.95,277.3687139
31/05/2016,0.0,15.75,277.14482230000004
01/06/2016,0.0,13.85,277.12556539999997
02/06/2016,7.2,14.05,277.045497
03/06/2016,3.6,15.95,276.8969536
04/06/2016,13.3,16.4,277.0327085
05/06/2016,1.8,17.0,276.9569736
06/06/2016,4.6,17.85,276.9506957
07/06/2016,2.2,16.8,277.0819815
08/06/2016,3.2,18.5,276.9707063
09/06/2016,9.1,16.75,277.1542318
10/06/2016,1.0,17.3,274.7996841
11/06/2016,0.0,17.75,277.145346
12/06/2016,9.2,16.9,277.4690453
13/06/2016,16.2,15.3,276.84250410000004
14/06/2016,0.0,17.75,276.8709918
16/06/2016,0.0,20.1,277.1059204
17/06/2016,0.0,20.05,276.9935108
18/06/2016,0.0,19.25,277.0724309
19/06/2016,12.0,16.6,276.9428153
20/06/2016,0.2,15.6,277.1127232
21/06/2016,0.0,18.45,276.99257339999997
22/06/2016,0.0,21.25,276.9951204
23/06/2016,2.8,22.95,277.0363684
24/06/2016,0.0,25.25,276.9091559
25/06/2016,0.0,25.1,276.8998325
26/06/2016,0.0,23.95,276.86350760000005
27/06/2016,0.0,20.75,277.1755239
28/06/2016,0.0,20.4,277.018555
29/06/2016,0.0,21.15,276.998983
30/06/2016,6.8,22.35,276.9656608
01/07/2016,4.6,22.95,277.0872416
02/07/2016,0.0,23.75,277.2163325
03/07/2016,0.0,23.7,277.2061131
04/07/2016,0.0,24.05,277.033899
05/07/2016,1.4,23.7,277.2789493
06/07/2016,15.0,22.1,277.3454921
07/07/2016,0.0,23.0,277.3437279
08/07/2016,0.0,24.45,277.550972
09/07/2016,0.0,23.95,277.98656939999995
10/07/2016,15.1,24.25,278.58142139999995
11/07/2016,0.0,24.5,279.9468057
12/07/2016,0.0,26.0,281.69636710000003
13/07/2016,0.0,24.85,282.0539736
14/07/2016,0.0,20.55,282.3564243
15/07/2016,0.6,16.4,282.8225756
16/07/2016,0.0,15.9,283.0484409
17/07/2016,0.0,17.6,283.64644330000004
18/07/2016,0.0,21.3,283.79882910000003
19/07/2016,0.0,23.6,284.4340034
20/07/2016,0.0,24.9,284.8536861
21/07/2016,0.0,25.0,285.256622
22/07/2016,0.0,23.95,286.0645311
23/07/2016,0.0,25.8,286.4610258
24/07/2016,8.4,19.45,286.9831089
25/07/2016,8.4,21.5,286.8368228
26/07/2016,0.2,21.25,286.73907189999994
27/07/2016,16.3,22.8,287.2794151
28/07/2016,0.6,23.4,287.67753319999997
29/07/2016,0.0,22.6,288.6508026
30/07/2016,0.0,23.7,289.1457136
31/07/2016,0.0,24.6,289.46310689999996
01/08/2016,0.0,22.9,289.0679475
02/08/2016,12.7,23.0,291.4645194
03/08/2016,0.0,23.0,291.8707007
04/08/2016,0.0,24.0,291.8392389
05/08/2016,0.0,23.65,292.99084460000006
06/08/2016,11.7,18.25,293.89187010000006
07/08/2016,0.0,20.25,294.4546586
08/08/2016,0.2,21.2,294.5351649
09/08/2016,0.0,22.2,294.6945291
10/08/2016,0.0,21.8,295.1120512
11/08/2016,0.2,20.9,294.946034
12/08/2016,0.0,18.25,295.0102957
13/08/2016,0.0,18.8,294.8348528
14/08/2016,0.0,20.95,295.06410800000003
15/08/2016,0.0,22.45,295.2427033
16/08/2016,0.0,23.1,295.2630961
17/08/2016,2.6,21.05,295.326775
18/08/2016,1.8,20.85,295.27136980000006
19/08/2016,0.0,21.1,294.7677332
20/08/2016,0.0,22.95,295.0479089
21/08/2016,0.0,23.8,295.1718293
22/08/2016,0.0,21.25,295.32561780000003
23/08/2016,0.0,19.65,295.13194680000004
24/08/2016,0.0,21.05,295.02092369999997
25/08/2016,0.0,21.85,294.6188372
26/08/2016,0.0,23.85,294.82449019999996
27/08/2016,0.0,24.15,294.64468839999995
28/08/2016,0.0,23.6,294.7649894
29/08/2016,0.0,22.85,294.8557078
30/08/2016,1.6,23.1,294.87708169999996
31/08/2016,1.0,20.75,292.24249069999996
01/09/2016,0.4,21.15,294.65547260000005
02/09/2016,0.0,22.8,294.5999651
03/09/2016,0.0,23.95,294.604008
04/09/2016,17.5,22.7,294.64966610000005
05/09/2016,1.6,19.95,294.46240939999996
06/09/2016,0.0,16.9,294.03035719999997
07/09/2016,30.1,15.25,294.2023417
08/09/2016,0.2,16.95,294.2041201
09/09/2016,2.4,19.3,293.2369257
10/09/2016,5.2,17.15,294.05386150000004
11/09/2016,3.0,18.35,295.5932285
12/09/2016,0.0,19.05,299.93944849999997
13/09/2016,2.4,19.95,296.099689
14/09/2016,1.4,20.3,293.5109205
15/09/2016,0.0,19.2,294.4812448
16/09/2016,25.5,19.4,290.7872657
17/09/2016,1.2,16.95,283.4181
18/09/2016,12.4,14.2,281.50077999999996
19/09/2016,5.9,13.85,281.3974709
20/09/2016,0.0,17.15,293.8517211
21/09/2016,1.4,16.2,300.01347789999994
22/09/2016,4.2,16.55,300.0899728
23/09/2016,0.0,15.8,299.99189900000005
24/09/2016,0.0,16.15,298.0875671
25/09/2016,0.0,16.7,298.23991
26/09/2016,0.0,16.85,292.8889152
27/09/2016,0.0,15.75,286.819351
28/09/2016,0.0,16.25,284.31488410000003
29/09/2016,0.0,16.55,279.3377616
30/09/2016,0.0,16.2,274.10906969999996
01/10/2016,0.0,16.55,269.0900348
02/10/2016,30.0,14.9,266.936223
03/10/2016,0.2,15.85,266.3381576
04/10/2016,5.2,15.3,268.188346
05/10/2016,2.6,13.65,268.7119371
06/10/2016,4.8,12.55,268.20694469999995
07/10/2016,21.6,12.15,268.0044138
08/10/2016,4.2,12.8,270.4436784
09/10/2016,2.6,14.6,273.7954125
10/10/2016,1.0,14.05,275.1130855
11/10/2016,9.3,11.25,291.8201791
12/10/2016,0.0,10.05,295.7178528
13/10/2016,0.0,11.45,293.8203305
14/10/2016,0.0,20.15,293.9163627
15/10/2016,15.5,17.6,294.00053379999997
16/10/2016,0.0,16.1,294.3756763
17/10/2016,0.0,15.7,294.5310809
18/10/2016,3.2,12.15,294.782203
19/10/2016,0.2,12.65,294.8405651
20/10/2016,2.4,13.0,294.9407111
21/10/2016,3.6,13.35,294.4893531
22/10/2016,0.0,12.2,294.48645489999996
23/10/2016,0.4,13.8,294.4642793
24/10/2016,0.0,17.85,294.5531709
25/10/2016,0.0,18.7,294.5955628
26/10/2016,3.8,17.25,294.53126810000003
27/10/2016,22.2,11.45,294.6022972
28/10/2016,0.0,11.5,294.5021826
29/10/2016,0.0,12.05,294.61663619999996
30/10/2016,0.0,13.8,294.6042657
31/10/2016,0.0,12.75,294.6192841
01/11/2016,0.0,11.35,294.7167377
02/11/2016,0.0,11.55,294.679629
03/11/2016,7.6,12.4,295.75564219999995
04/11/2016,0.0,12.75,296.6075439
05/11/2016,0.2,11.6,296.6075439
06/11/2016,57.6,13.0,296.6075439
07/11/2016,1.2,9.55,296.6075439
11/11/2016,24.4,7.3,296.6075439
12/11/2016,0.4,5.2,296.6075439
13/11/2016,0.0,5.95,296.6075439
14/11/2016,0.4,7.25,296.6075439
15/11/2016,0.0,7.75,296.6075439
16/11/2016,0.0,6.75,296.6075439
17/11/2016,1.0,9.45,296.6075439
18/11/2016,0.2,13.45,296.6075439
19/11/2016,18.7,11.3,296.6075439
20/11/2016,0.0,13.3,296.6075439
21/11/2016,0.0,12.7,296.6075439
22/11/2016,0.0,13.2,296.6075439
23/11/2016,0.0,13.2,296.6075439
24/11/2016,0.2,13.0,296.6075439
25/11/2016,34.4,10.45,296.6075439
26/11/2016,0.2,9.8,296.6075439
27/11/2016,0.0,9.55,296.6075439
28/11/2016,0.0,9.0,296.6075439
29/11/2016,0.0,2.1,296.6075439
30/11/2016,0.0,3.25,296.6075439
01/12/2016,0.0,5.1,296.6075439
02/12/2016,0.0,5.5,296.6075439
03/12/2016,0.0,6.8,296.6075439
04/12/2016,0.0,9.3,296.6075439
05/12/2016,0.0,8.6,296.6075439
06/12/2016,0.0,7.5,296.6075439
07/12/2016,0.0,8.05,296.6075439
08/12/2016,0.0,7.15,296.6075439
09/12/2016,0.0,8.3,296.6075439
10/12/2016,0.0,8.2,296.6075439
11/12/2016,0.0,6.35,296.6075439
12/12/2016,0.0,8.75,296.6075439
13/12/2016,0.0,6.05,296.6075439
14/12/2016,0.0,5.8,296.6075439
15/12/2016,0.0,6.85,296.6075439
16/12/2016,0.0,5.55,296.6075439
17/12/2016,0.0,4.35,296.6075439
18/12/2016,0.0,3.6,296.6075439
19/12/2016,5.0,3.6,296.6075439
20/12/2016,2.0,8.2,296.6075439
21/12/2016,0.0,9.1,296.6075439
22/12/2016,0.0,6.95,296.6075439
23/12/2016,0.0,8.65,296.6075439
24/12/2016,0.0,9.2,296.6075439
25/12/2016,0.0,6.4,296.6075439
26/12/2016,0.0,10.25,296.6075439
27/12/2016,0.0,8.9,296.6075439
28/12/2016,0.0,7.3,296.6075439
29/12/2016,0.0,2.15,296.6075439
30/12/2016,0.0,1.1,296.6075439
31/12/2016,0.0,2.5,296.6075439
01/01/2017,0.0,3.35,296.6075439
02/01/2017,0.0,3.7,296.6075439
03/01/2017,15.0,4.2,296.6075439
04/01/2017,0.0,4.35,296.6075439
05/01/2017,6.8,1.9,296.6075439
06/01/2017,0.0,-4.3,296.6075439
07/01/2017,2.2,-4.9,296.6075439
08/01/2017,2.0,-3.2,296.6075439
09/01/2017,1.4,-0.4,296.6075439
10/01/2017,0.0,-2.0,296.6075439
11/01/2017,0.0,-2.35,296.6075439
12/01/2017,5.8,1.05,296.6075439
13/01/2017,28.6,3.1,296.6075439
14/01/2017,0.8,0.35,296.6075439
15/01/2017,0.0,0.5,296.6075439
16/01/2017,0.0,2.45,296.6075439
17/01/2017,4.4,2.25,296.6075439
18/01/2017,10.0,2.45,296.6075439
19/01/2017,0.0,3.7,296.6075439
20/01/2017,0.0,3.9,296.6075439
21/01/2017,0.0,5.15,296.6075439
22/01/2017,0.0,7.15,296.6075439
23/01/2017,2.8,6.65,296.6075439
24/01/2017,0.8,4.8,296.6075439
25/01/2017,0.0,6.1,296.6075439
26/01/2017,0.0,3.3,296.6075439
27/01/2017,0.0,4.25,296.6075439
28/01/2017,0.0,5.35,296.6075439
29/01/2017,0.0,4.4,296.6075439
30/01/2017,0.0,4.55,296.6075439
31/01/2017,0.0,5.8,296.6075439
01/02/2017,1.4,6.8,296.6075439
02/02/2017,0.0,7.05,296.6075439
03/02/2017,2.0,8.4,296.6075439
04/02/2017,5.0,9.15,296.6075439
05/02/2017,15.8,8.55,296.6075439
06/02/2017,30.0,5.9,296.6075439
07/02/2017,3.6,6.35,296.6075439
08/02/2017,0.2,6.85,296.6075439
09/02/2017,1.2,5.55,296.6075439
10/02/2017,2.6,8.05,296.6075439
11/02/2017,0.0,7.85,296.6075439
12/02/2017,0.0,8.15,296.6075439
13/02/2017,0.0,8.15,296.6075439
14/02/2017,0.0,7.1,296.6075439
15/02/2017,0.0,6.95,296.6075439
16/02/2017,0.0,8.1,296.6075439
17/02/2017,0.0,7.1,296.6075439
18/02/2017,6.4,4.95,296.6075439
19/02/2017,0.0,5.1,296.6075439
21/02/2017,0.0,5.5,294.6357144
22/02/2017,0.0,6.85,293.99735939999994
23/02/2017,0.0,8.35,294.43378210000003
24/02/2017,3.8,8.0,294.82201410000005
25/02/2017,2.8,9.05,294.553379
26/02/2017,0.0,9.55,292.29148230000004
27/02/2017,0.0,9.8,291.2113498
28/02/2017,0.6,8.4,291.19615330000005
01/03/2017,2.0,8.8,288.6040936
02/03/2017,0.0,8.85,289.89635930000003
03/03/2017,0.0,9.55,288.7451165
04/03/2017,2.2,10.0,288.6375582
05/03/2017,25.7,5.85,288.6189608
06/03/2017,23.2,8.85,288.0262688
07/03/2017,10.8,5.6,287.55791630000004
